tau,epoch,mean_train_loss,std_train_loss,mean_test_loss,std_test_loss,mean_test_acc,std_test_acc,mean_test_error,std_test_error,mean_weight_norm,std_weight_norm
0,1,1.6757762846739397,0.016070088797199743,1.9482807240804039,0.32269913073796325,0.3736333333333333,0.048906577608061386,0.6263666666666666,0.04890657760806143,37.62636693318685,0.07101723630203786
0,2,1.2899599036190719,0.02299410140125301,1.2917196901957195,0.09227454975320949,0.5532666666666667,0.01775678274162672,0.44673333333333326,0.017756782741626724,37.88383483886719,0.07129335237440936
0,3,1.0941266377360417,0.0259348871331434,1.3336662020365397,0.2624391932962718,0.5664999999999999,0.04536066577994637,0.4335,0.04536066577994638,38.13425318400065,0.06851110493236762
0,4,0.9696142106409879,0.020543225465459097,1.1645406031926473,0.15455198240612572,0.6120333333333333,0.04146339751314809,0.3879666666666666,0.04146339751314809,38.373251597086586,0.06870199002260241
0,5,0.8762677095938421,0.015078077270346843,1.1821989592234292,0.42117501037451593,0.6180333333333333,0.0928444038880822,0.38196666666666673,0.0928444038880822,38.606658935546875,0.06564308742394827
0,6,0.8035362663679618,0.007498503318715,1.0456934224446615,0.05635308017569434,0.6581,0.013509996299037257,0.34190000000000004,0.013509996299037257,38.83410517374674,0.06338134032439535
0,7,0.743966891510509,0.009817691368008379,0.8596192674318949,0.08000681201545039,0.7071333333333333,0.01959727872265262,0.29286666666666666,0.01959727872265262,39.05428949991862,0.06082181723918012
0,8,0.6946797814007407,0.0074675831224773215,0.8858517413139344,0.05229736837651681,0.7052,0.013952419145080145,0.2948,0.013952419145080145,39.26883188883463,0.057617193603582646
0,9,0.65608542120975,0.00587378365564445,0.8014682478268941,0.05232906936167474,0.7359333333333334,0.015301089285842845,0.26406666666666667,0.015301089285842846,39.47781117757162,0.05544995727777304
0,10,0.6232582942248407,0.00922998585516654,0.7804736721038817,0.027552957556991015,0.7392666666666666,0.005084617324178178,0.2607333333333333,0.005084617324178178,39.68149439493815,0.051533332759423525
0,11,0.595839976400569,0.009955465945645735,0.8794029088973998,0.17169933890872457,0.7082666666666667,0.052616759053873065,0.29173333333333334,0.052616759053873065,39.88227844238281,0.05050042466258062
0,12,0.5682561598521263,0.005289241210260728,0.7265951617558798,0.04805606238630383,0.7623666666666665,0.009089737803332594,0.23763333333333336,0.009089737803332592,40.08098347981771,0.048179305149274466
0,13,0.5472858468386624,0.008198525936785203,0.8077718878110249,0.022465080149529387,0.7426666666666667,0.004499259198282918,0.2573333333333333,0.004499259198282918,40.275211334228516,0.04532221111876069
0,14,0.525198511150487,0.009250600317491304,0.7637740525245666,0.13430495852055746,0.7543000000000001,0.03329999999999999,0.24569999999999995,0.033299999999999996,40.467122395833336,0.0447544991938517
0,15,0.5105854893279503,0.0057100830180694786,0.740185281531016,0.14135563688308828,0.7684666666666667,0.02859830997337664,0.23153333333333329,0.02859830997337664,40.65864690144857,0.04395668431233368
0,16,0.49226339068660757,0.006853409146722829,0.7574026673316956,0.10070108594336753,0.7585666666666667,0.02348581131946122,0.2414333333333333,0.02348581131946122,40.84614817301432,0.040640686206021875
0,17,0.47592143179612184,0.007778682020005743,0.7047928222656251,0.02626508767446089,0.7709333333333334,0.0033291640592396855,0.22906666666666667,0.0033291640592396855,41.03289286295573,0.041085397521805005
0,18,0.46353140574993484,0.007113296761715787,0.669655705610911,0.11913196807280983,0.7877666666666667,0.021716660271168173,0.21223333333333336,0.021716660271168177,41.215773264567055,0.039035889445168066
0,19,0.45092459440942717,0.0109006615619791,0.646659935061137,0.0858471847324668,0.7877333333333333,0.02422897714170644,0.21226666666666671,0.02422897714170644,41.39829635620117,0.03949124345932784
0,20,0.4378783254164056,0.008628635920757391,0.691341766945521,0.04987211298828988,0.7793333333333333,0.00854068693568225,0.22066666666666668,0.00854068693568225,41.57992045084635,0.0394206921594091
0,21,0.4247117292545641,0.008925826255920798,0.6247362286885579,0.059866424686106964,0.8038333333333334,0.014759516703921317,0.19616666666666668,0.014759516703921317,41.76124699910482,0.03828358190241606
0,22,0.4149213703849432,0.004548145502691455,0.7041057464440664,0.17333927198359433,0.7807666666666667,0.04152858453322642,0.2192333333333333,0.04152858453322642,41.93895594278971,0.037819234661795556
0,23,0.40345256702572696,0.006769341839298843,0.6158105063120525,0.1332995825907965,0.8043666666666667,0.03329404351131496,0.19563333333333333,0.03329404351131496,42.11555099487305,0.03795353539589448
0,24,0.39134749056229917,0.005568887591611968,0.7155660482406616,0.09735551229388212,0.7812666666666667,0.023958575361096388,0.21873333333333334,0.023958575361096388,42.291341145833336,0.03783916443723363
0,25,0.3843056748209097,0.005833520879598853,0.6171807156562805,0.03194555575528748,0.8069333333333333,0.009402836451482804,0.19306666666666664,0.009402836451482804,42.464674631754555,0.03843273594961539
0,26,0.37478703964193555,0.0030102667336732065,0.5748733579317727,0.042323115442891905,0.8164000000000001,0.009516827202382117,0.18359999999999999,0.009516827202382115,42.63778305053711,0.03867678327400661
0,27,0.36764344249082653,0.0051027528870579725,0.6346429085731505,0.03306013014885615,0.7935666666666666,0.009623062575569876,0.20643333333333336,0.009623062575569876,42.81063334147135,0.03762632528138572
0,28,0.35864753932243526,0.002664465831662529,0.6651264262676239,0.02622179263390345,0.7951999999999999,0.004869291529575904,0.2048,0.004869291529575904,42.982496897379555,0.03781483007245485
0,29,0.35170196299103723,0.0040641158473344935,0.5938912470181782,0.057246410506565364,0.8108333333333334,0.01559241268480708,0.18916666666666668,0.015592412684807083,43.151947021484375,0.0374993594851902
0,30,0.3440189944661182,0.0017094255528303853,0.6436090250651042,0.16267939447662016,0.8065333333333333,0.033285181888241686,0.19346666666666668,0.033285181888241686,43.32141621907552,0.03777815873243927
0,31,0.33452153284633046,0.007087145046647299,0.5378917526880901,0.009984119725150623,0.8311333333333333,0.005081666393352993,0.16886666666666664,0.005081666393352992,43.490301767985024,0.039415806234692236
0,32,0.32944363335311055,0.0055964654643460105,0.5837085319519043,0.05724230210048984,0.8153333333333332,0.011402338941345912,0.18466666666666665,0.011402338941345912,43.658955891927086,0.04088059339751098
0,33,0.32274556209516647,0.003584694220940148,0.6159000408331553,0.07446773552066008,0.8102999999999999,0.01268345378830232,0.1897,0.01268345378830232,43.82667795817057,0.043301650181918006
0,34,0.31650484801100953,0.006803174714523835,0.6694792459805806,0.08666766182816918,0.7958999999999999,0.022194819215303356,0.20410000000000003,0.022194819215303356,43.993909200032554,0.04615898640570083
0,35,0.3090008161993791,0.004295197814405217,0.538719582160314,0.06792998352016429,0.8279,0.018421997720117104,0.1721,0.018421997720117104,44.159566243489586,0.04691522167376698
0,36,0.3024689033818062,0.0018512900201410095,0.6593623014132182,0.025624228182212574,0.8063666666666666,0.007489548272982391,0.19363333333333332,0.007489548272982391,44.32450485229492,0.04746114391436058
0,37,0.2982188248776617,0.004725114992334499,0.5946880333105723,0.0626081678456093,0.8174,0.015950235107985086,0.1826,0.015950235107985086,44.488382975260414,0.046922855692951564
0,38,0.2937791068281563,0.003031336596311239,0.5674931912938753,0.014059126038681985,0.8253666666666666,0.004675824347998267,0.17463333333333333,0.004675824347998267,44.65228017171224,0.04766854744298993
0,39,0.2874220623003552,0.006758572149419402,0.5531321863969167,0.06968157387029834,0.8302,0.016839536810732074,0.16979999999999998,0.016839536810732074,44.815338134765625,0.048903883783801505
0,40,0.2828370115615726,0.006567077488836657,0.5801439698457719,0.11932037116381147,0.8266333333333332,0.02790292696713612,0.1733666666666667,0.027902926967136123,44.97775904337565,0.049928790498391544
0,41,0.2758006251147946,0.0016821949189396463,0.49705195636749266,0.032409556377433174,0.8468666666666667,0.00903677671149026,0.15313333333333334,0.00903677671149026,45.138954162597656,0.05067448040260664
0,42,0.27324545647685383,0.005533118724973769,0.791069671010971,0.3018250895716875,0.7897333333333334,0.051363443550187834,0.21026666666666669,0.051363443550187834,45.30011240641276,0.05131647344220204
0,43,0.26827715358872345,0.0027050487798768973,0.6989239311536153,0.12438212488183294,0.8000333333333334,0.031050013419213394,0.19996666666666665,0.031050013419213398,45.459921518961586,0.0537347857586168
0,44,0.26232417767513333,0.004014945277809493,0.5220132089614868,0.04801576269041968,0.8461,0.00835942581760255,0.1539,0.00835942581760255,45.620259602864586,0.05207680987940022
0,45,0.25882648194537444,0.006952988960920098,0.5517597541491192,0.047581127802975645,0.8362999999999999,0.010289800775525255,0.16370000000000004,0.010289800775525253,45.77878952026367,0.054308863488484495
0,46,0.2537944290313778,0.0031206310171482832,0.5516780694325765,0.03493575800252401,0.8348,0.01062261737991159,0.1652,0.01062261737991159,45.9362678527832,0.05585081956213098
0,47,0.2488574891875975,0.0072545652589102415,0.5584483654816945,0.05398980744670148,0.8358666666666666,0.012133150181767876,0.16413333333333333,0.012133150181767876,46.09419631958008,0.05669945724384091
0,48,0.2472193333219486,0.003824611756728748,0.6464472668329875,0.07973810178632548,0.8180666666666667,0.017737061011715908,0.1819333333333333,0.017737061011715908,46.250665028889976,0.05898515170228861
0,49,0.24442815536098003,0.0018470777216757282,0.6361112438042958,0.04857396510783779,0.8227333333333334,0.011168855506869694,0.17726666666666666,0.011168855506869694,46.406663258870445,0.060607742246591774
0,50,0.23707376012716755,0.0034877024074329173,0.5197506520271301,0.06307411506787497,0.8441,0.01172049487009832,0.1559,0.011720494870098318,46.561388651529946,0.06218528140110273
1,1,1.8384016334553204,0.02542564141128919,1.664097019704183,0.09542531763671941,0.40473333333333333,0.014816994747023866,0.5952666666666667,0.014816994747023887,37.688027699788414,0.07223903324760375
1,2,1.4308649569826055,0.026527261336353258,1.8333015770594276,0.34325205987875484,0.4236,0.022522655260870095,0.5764,0.022522655260870064,37.992682139078774,0.09033225431071053
1,3,1.23689174987471,0.033411821371245216,1.43289243590037,0.3568682714671047,0.5288,0.07676099269811457,0.4712,0.07676099269811457,38.30231730143229,0.09597948807666287
1,4,1.0888282019972089,0.02566671430593968,1.2571604602813722,0.0831894810218606,0.5645666666666668,0.030136577996403884,0.4354333333333333,0.030136577996403884,38.58757527669271,0.10504866995723015
